languageCode,glottocode,family_name,classification
mus,cree1270,Muskogean,Muskogean/Creek
gyn,creo1235,Indo-European,Indo-European/Classical Indo-European/Germanic/Northwest Germanic/West Germanic/North Sea Germanic/Anglo-Frisian/Anglic/Later Anglic/Middle-Modern English/Macro-English/Guinea Coast Creole English/Caribbean English Creole/Eastern Caribbean Creole/Barbados-Eustatius/Barbados-Trinidad/Guyanese Creole English
crh,crim1257,Turkic,Turkic/Common Turkic/Kipchak-Turkestan/Kipchak/Northwest Kipchak/West Kipchak/Crimean Tatar-Urum/Crimeaic/Crimean Tatar
csq,croa1242,Sign Language,Sign Language/L1 Sign Language/LSFic/Yugoslav Sign/Croatian Sign Language
mfn,cros1244,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Delta Cross/Upper Cross/Central Upper Cross/East-West Central Delta Cross/Mbembe-Legbo/Cross River Mbembe
cro,crow1244,Siouan,Siouan/Missouri River Siouan/Crow
crz,cruz1243,Chumashan,Chumashan/Southern Chumashan/Cruzeño
cua,cuaa1241,Austroasiatic,Austroasiatic/Bahnaric/Cua
csf,cuba1235,Sign Language,Sign Language/L1 Sign Language/Cuba Sign Language
cbq,cuba1236,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Kainji/Kainji Lake/Upper Niger Kainji/Oleran/Cuba
cub,cube1242,Tucanoan,Tucanoan/Eastern Tucanoan/Western Eastern Tucanoan/Cubeo-Desano/Cubeo
cui,cuib1242,Guahiboan,Guahiboan/Nuclear Guahiboan/Central Guahibo/Cuiba
cuy,cuit1236,Isolate,Cuitlatec
cul,culi1244,Arawan,Arawan/Madi-Madiha/Madiha/Culina
cuo,cuma1240,Cariban,Cariban/Venezuelan Cariban/Mapoyo-Tamanaku/Cumana/Cumanagoto
cum,cume1234,Bookkeeping,Bookkeeping/Cumeral
xlu,cune1239,Indo-European,Indo-European/Anatolian/Luvo-Lydian/Luvo-Palaic/Luvic/Luvian/Cuneiform Luwian
cnq,cung1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Beboid/Eastern Beboid/Nsari-Nooni-Ncane/Nooni-Ncane/Ncane-Cung/Cung-Mbuk/Chung
cuq,cunn1236,Tai-Kadai,Tai-Kadai/Hlaic/Nuclear Hlaic/Cun-Nadou
cup,cupe1243,Uto-Aztecan,Uto-Aztecan/Northern Uto-Aztecan/Takic/Cupan/Cahuilla-Cupeno/Cupeño
kpc,curr1243,Arawakan,Arawakan/Japura-Colombia/Nuclear Japura-Colombia/Northeast Japura-Colombia/Baniwa-Curripaco-Tariano/Baniwa-Curripaco/Curripaco
quz,cusc1236,Quechuan,Quechuan/Southern Quechua/Cuscan Quechua/Cusco Quechua
ccl,cutc1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Northeast Savanna Bantu/Northeast Coastal Bantu/Coastal NEC Bantu/Sabaki-Swahili/Swahili (G.40)/Mombasa-Lamu-Inland Swahili/Cutchi-Swahili
cuv,cuvo1236,Afro-Asiatic,Afro-Asiatic/Chadic/Biu-Mandara/South Biu-Mandara/Matakam/Mefele-Cuvok/Cuvok
xtu,cuya1240,Otomanguean,Otomanguean/Eastern Otomanguean/Amuzgo-Mixtecan/Mixtecan/Mixtec-Cuicatec/Mixtec/Northern Alta Mixtec/Cuyamecalco Mixtec
cyo,cuyo1237,Austronesian,Austronesian/Malayo-Polynesian/Greater Central Philippine/Central Philippine/Bisayan/West Bisayan/Kuyan/Cuyonon
bwy,cwib1235,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Northern Central Gur/Bwamu-Oti-Volta/Bwamu/Nuclear Bwamu/Cwi Bwamu
acy,cypr1248,Afro-Asiatic,Afro-Asiatic/Semitic/West Semitic/Central Semitic/Arabian/Arabic/Levantine-Cypriot Arabic/Cypriot Arabic
cse,czec1253,Sign Language,Sign Language/L1 Sign Language/LSFic/Central European Sign/Nuclear Central European Sign/Czech Sign Language
ces,czec1258,Indo-European,Indo-European/Classical Indo-European/Balto-Slavic/Slavic/West Slavic/Czech-Slovak/Czech
dao,daai1236,Sino-Tibetan,Sino-Tibetan/Kuki-Chin-Naga/Kuki-Chin/Peripheral Kuki-Chin/South Peripheral Kuki-Chin/Choic/Daai-Nghmoye-Muun-Kaang/Daai Chin
kzf,daak1235,Austronesian,Austronesian/Malayo-Polynesian/Celebic/Kaili-Wolio/Northern Kaili-Wolio/Greater Kaili/Common Kaili/Da'a Kaili
lni,daan1235,South Bougainville,South Bougainville/Nasioiic/Nasioi/South-Central Nasioi/South Nasioi/Daantanai'
dsh,daas1238,Afro-Asiatic,Afro-Asiatic/Cushitic/East Cushitic/Lowland East Cushitic/Southern Lowland East Cushitic/Mainstream Lowland East Cushitic/Omo-Tana/Western Omo-Tana/Daasanach
dtn,daat1234,Gumuz,Gumuz/Daats'iin
dbr,daba1260,Afro-Asiatic,Afro-Asiatic/Cushitic/East Cushitic/Lowland East Cushitic/Southern Lowland East Cushitic/Mainstream Lowland East Cushitic/Omo-Tana/Eastern Omo-Tana/Dabarre-Tunni/Dabarre
dbe,dabe1239,Tor-Orya,Tor-Orya/Tor/Coastal Tor/Dabe
xdc,daci1234,Indo-European,Indo-European/Unclassified Indo-European/Dacian
dbd,dadi1249,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Tula-Longuda/Tula-Waja/Tulaic/Tula-Ma-Yebu/Nuclear Tulaic/Dadiya
mps,dadi1250,Teberan,Teberan/Dadibi
dgd,daga1272,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Northern Central Gur/Bwamu-Oti-Volta/Oti-Volta/Nuclear Oti-Volta/Gurma-Yom-Oti-Volta Occidental/Oti-Volta Occidental/Nuclear Oti-Volta Occidental/Northwest Oti-Volta/Safaliba-Dagaare/Dagaaric/Central-South Dagaric/South Dagaric/Dagaari Dioula
dgz,daga1275,Dagan,Dagan/Central Dagan/Southwest Dagan/Daga
dag,dagb1246,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Northern Central Gur/Bwamu-Oti-Volta/Oti-Volta/Nuclear Oti-Volta/Gurma-Yom-Oti-Volta Occidental/Oti-Volta Occidental/Nuclear Oti-Volta Occidental/Southeast Western Oti-Volta/Mampruli-Dagbani/Dagbani
dgk,dagb1248,Central Sudanic,Central Sudanic/Sara-Bongo-Bagirmi/SBB Occidental/Nuclear SBB Occidental/Saraic/Sara Central/Sara Central Logone-Chari/Sido/Dagba
dec,dagi1241,Narrow Talodi,Narrow Talodi/Buram-Saraf/Buram Hill Chain/Dagik
dgn,dago1245,Yangmanic,Yangmanic/Dagoman
dal,daha1245,Afro-Asiatic,Afro-Asiatic/Cushitic/East Cushitic/Dahalo
dlk,daha1247,Afro-Asiatic,Afro-Asiatic/Semitic/West Semitic/Ethiosemitic/Tigre-Dahalik/Dahalik
das,daho1238,Kru,Kru/Greater Western Kru/Western Kru/Wee-Bassa-Klao/Wee/Nuclear Wee/Konoboic/Daho-Doo
dij,daii1240,Austronesian,Austronesian/Malayo-Polynesian/Timor-Babar/Southwest Maluku/Babar/North Babaric/Dai
drb,dair1239,Nubian,Nubian/Central Nubian/Kordofan Nubian/Eastern Kordofan Nubian/Dair
zhd,daiz1235,Tai-Kadai,Tai-Kadai/Kam-Tai/Daic-Beic/Daic/Central-Southwestern Tai/Wenma-Southwestern Tai/Dai Zhuang
bpa,daka1243,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/North and Central Vanuatu/Central Vanuatu/Ambrym/Orkon-West Ambrym/West Ambrym/Southwest Ambrym/Dakaka
dkk,dakk1238,Austronesian,Austronesian/Malayo-Polynesian/Greater South Sulawesi/South Sulawesi/Northern South Sulawesi/Pitu Ulunna Salu/Dakka
dak,dako1258,Siouan,Siouan/Mississippi Valley/Dakotan/Sioux/Dakota
dka,dakp1242,Sino-Tibetan,Sino-Tibetan/Bodic/Bodish/Dakpa-Dzala/Dakpakha
qer,dale1238,Indo-European,Indo-European/Classical Indo-European/Germanic/Northwest Germanic/North Germanic/North Scandinavian/East-Central Swedic/Dalecarlian
dlm,dalm1243,Indo-European,Indo-European/Classical Indo-European/Italic/Latino-Faliscan/Latinic/Imperial Latin/Romance/Italo-Western Romance/Italo-Dalmatian/Dalmatian Romance/Dalmatian
bev,dalo1238,Kru,Kru/Eastern Kru/Beteic/Western Bete/Daloa Bété
dmm,dama1267,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Cameroun-Ubangian/Mbumic/Northern Mbum/Dama-Galke/Dama (Cameroon)
dam,dama1268,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Kainji/Central Kainji/Northwestern Kainji/Clela-Damakawa/Damakawa
uhn,dama1272,Isolate,Damal
idb,dama1278,Indo-European,Indo-European/Classical Indo-European/Italic/Latino-Faliscan/Latinic/Imperial Latin/Romance/Italo-Western Romance/Western Romance/Shifted Western Romance/Southwestern Shifted Romance/West Ibero-Romance/Galician Romance/Macro-Portuguese/Indo-Portuguesic/Northern Indo-Portuguesic/Daman-Diu Portuguese
dac,damb1246,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/North New Guinea linkage/Huon Gulf/South Huon Gulf linkage/Buang linkage/Mumeng/Dambi-Kumaru/Dambi
dml,dame1241,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Nuristani/Dameli
dms,damp1237,Austronesian,Austronesian/Malayo-Polynesian/Celebic/Greater Eastern Celebic/Tominic/Southern Tomini/Dampelas
dnu,dana1252,Austroasiatic,Austroasiatic/Khasi-Palaung/Palaungic/Danau
dnr,dana1254,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Madang/Rai Coast/Peka/Urigina-Danaru/Danaru
daq,dand1238,Dravidian,Dravidian/South Dravidian/South Dravidian II/Gondi/Southeast Gondi/South Bastar Gondi-Koya/Dandami Maria
thl,dang1260,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Midlands Indo-Aryan/Shaurasenic/Bihari/Tharuic/Eastern Tharu/Dangaura-Khuna-Sonaha/Dangaura Tharu
daa,dang1274,Afro-Asiatic,Afro-Asiatic/Chadic/East Chadic/East Chadic B/East Chadic B.1/Dangla-Mabire-Birgit/Dangla/Dangaleat
dsl,dani1246,Sign Language,Sign Language/L1 Sign Language/LSFic/West Scandinavian Sign/Danish Sign/Danish Sign Language
dan,dani1285,Indo-European,Indo-European/Classical Indo-European/Germanic/Northwest Germanic/North Germanic/South Scandinavian/Danish
daf,dann1241,Mande,Mande/Eastern Mande/Southeastern Mande/Mano-Dan/Guro-Dan/Dan-Toura/Dan
aso,dano1240,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Kainantu-Goroka/Goroka/Nuclear Goroka/Gahuku/Dano
cxh,dans1239,Afro-Asiatic,Afro-Asiatic/Chadic/West Chadic/West Chadic B/West Chadic B.3/South Bauchi West/Southwest South Bauchi/Zeemic/Nuclear Zeemic/Chaari
gku,dans1240,Tuu,Tuu/!Ui/Ghaap-Kalahari/Danster !Ui
dnd,daon1243,Border,Border/Warisic/Nuclear Warisic/Simog-Daonda/Daonda
daz,daoo1238,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Paniai Lakes/Auye-Dao/Dao
dry,dara1250,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Midlands Indo-Aryan/Shaurasenic/Bihari/Unclassified Bihari/Kuswaric/Darai
dat,dara1255,Bookkeeping,Bookkeeping/Darang Deng
djc,dard1243,Dajuic,Dajuic/Western Dajuic/Dar Daju Daju
daj,darf1239,Dajuic,Dajuic/Western Dajuic/Nyala Dajuic/Dar Fur Daju
dar,darg1241,Nakh-Daghestanian,Nakh-Daghestanian/Daghestanian/Dargwic/North-Central Dargwa
prs,dari1249,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Iranian/Southwestern Iranian/Middle-Modern Persian/Modern Southwestern Iranian/Farsic-Caucasian Tat/Farsic/Eastern Farsic/Dari
dln,darl1242,Sino-Tibetan,Sino-Tibetan/Kuki-Chin-Naga/Kuki-Chin/Central Kuki-Chin/Core Central Kuki-Chin/Mizoic/Darlong
drl,darl1243,Pama-Nyungan,Pama-Nyungan/Yarli-Baagandji/Paakantyi
drd,darm1243,Sino-Tibetan,Sino-Tibetan/Bodic/West Himalayish/Eastern West Himalayish/Pithauragarh/Darma-Byangsi-Chaudangsi/Darma-Byangsi/Zhangzhungic/Darma
dro,daro1239,Austronesian,Austronesian/Malayo-Polynesian/North Borneo Malayo-Polynesian/Central Sarawak/Melanau-Kajang/Melanau/Daro-Matu Melanau
dau,dars1235,Dajuic,Dajuic/Western Dajuic/Dar Sila Daju
dot,dass1243,Afro-Asiatic,Afro-Asiatic/Chadic/West Chadic/West Chadic B/West Chadic B.3/South Bauchi West/Southwest South Bauchi/Dass
tcc,dato1239,Nilotic,Nilotic/Southern Nilotic/Tatoga-Omotik/Gemein Datooga/North-Central Datooga/Barabayiiga-Gisamjanga
dta,daur1238,Mongolic-Khitan,Mongolic-Khitan/Mongolic/Dagur
daw,dava1245,Austronesian,Austronesian/Malayo-Polynesian/Greater Central Philippine/Central Philippine/Mansakan/Davawenyo
dww,dawa1242,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/Papuan Tip linkage/Nuclear Papuan Tip linkage/North Papuan Mainland-D'Entrecasteaux linkage/Kakabai linkage/Dawawa
ddw,dawe1237,Austronesian,Austronesian/Malayo-Polynesian/Timor-Babar/Southwest Maluku/Babar/North Babaric/Dawera-Daweloor
dwk,dawi1234,Bookkeeping,Bookkeeping/Pending Report Release/Dawik Kui
dwr,dawr1236,Ta-Ne-Omotic,Ta-Ne-Omotic/Ometo/North-West Ometo/Central Ometo/Dawro-Gofa-Gamo/Dawro
kwa,daww1239,Naduhup,Naduhup/Eastern Naduhup/Dâw
yio,daya1245,Bookkeeping,Bookkeeping/Dayao Yi
dax,dayi1244,Pama-Nyungan,Pama-Nyungan/Yuulngu/Southern Yolngu/Southern-Eastern Yolngu/Dayi
dai,dayy1236,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Bua-Kim-Day/Day
dzg,daza1242,Saharan,Saharan/Western Saharan/Tebu/Dazaga
dzd,daza1244,Afro-Asiatic,Afro-Asiatic/Chadic/West Chadic/West Chadic A/West Chadic A.2-3/West Chadic A.2/Boleic/Nuclear Boleic/Galambu-Bele/Kirfi-Bele/Giiwo-Daza/Daza
ded,dedu1240,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Finisterre-Huon/Huon/Western Huon/Rawlinson/Pindiu/Dedua
afn,defa1248,Ijoid,Ijoid/Defaka
gbh,defi1235,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Gbe/Eastern Gbe/Fongbeic/Defi Gbe
dgu,dega1238,Bookkeeping,Bookkeeping/Degaru
deg,dege1246,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Akpes-Edoid/Edoid/Delta Edoid/Degema-Engenni/Degema
dge,dege1247,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Finisterre-Huon/Finisterre-Saruwaged/Warup/Nuclear Warup/Degenanic/Degenan
ing,dege1248,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak-Tlingit/Athabaskan-Eyak/Athabaskan/Central Alaska-Yukon Athabaskan/Koyukonic/Degexit'an
mzw,degg1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Southern Central Gur/Grusi/East-West Grusi/Western Grusi/Sisaala-Chakali/Chakalic/Deg
dhv,dehu1237,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Southern Melanesian/New Caledonian/Loyalty Islands/Dehu
deh,dehw1238,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Iranian/Southwestern Iranian/Middle-Modern Persian/Modern Southwestern Iranian/Farsic-Caucasian Tat/Farsic/Eastern Farsic/Dehwari
dek,dekk1240,Unattested,Unattested/Atlantic-Congo (Unattested)/Dek
row,dela1251,Austronesian,Austronesian/Malayo-Polynesian/Timor-Babar/Rote-Meto/West Rote/Dela-Oenale
ntr,delo1240,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Southern Central Gur/Grusi/East-West Grusi/Eastern Grusi/Tem-Chala/Bago-Delo-Cala/Delo-Cala/Delo
dmx,dema1235,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Tumbuka-Sena-Nyanja/Sena-Nyanja/Senaic/Nyungweic/Dema
dei,demi1242,Geelvink Bay,Geelvink Bay/Demisa
dem,demm1245,Isolate,Dem
dmy,demt1241,Sentanic,Sentanic/Demta
deq,dend1242,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Cameroun-Ubangian/Ubangi/Ngbandi-Mongoba-Kazibati/Ngbandic/Nuclear Ngbandic/Dendi (Central African Republic)
ddn,dend1243,Songhay,Songhay/Eastern Songhay/Zarma-Kaado-Dendi/Dendi (Benin)
dez,deng1250,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Central-Western Bantu/North Zaire River/Inner Basin Bantu/Cuvette/Nkutsuic/Nkutsu-Lokenye/Dengese
dnk,deng1253,Austronesian,Austronesian/Malayo-Polynesian/Timor-Babar/Rote-Meto/West Rote/Dengka-Meto/Dengka
dny,deni1241,Arawan,Arawan/Madi-Madiha/Madiha/Deni
dbb,deno1239,Afro-Asiatic,Afro-Asiatic/Chadic/West Chadic/West Chadic A/West Chadic A.2-3/West Chadic A.2/Boleic/Nuclear Boleic/Gera-Geruma-Kubi-Deno/Kubi-Deno/Deno
anv,deny1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Mamfe/Kendem-Denya/Denya
der,deor1238,Sino-Tibetan,Sino-Tibetan/Brahmaputran/Bodo-Garo/Deori
kbv,dera1245,Senagi,Senagi/Dera (Indonesia)
kna,dera1248,Afro-Asiatic,Afro-Asiatic/Chadic/West Chadic/West Chadic A/West Chadic A.2-3/West Chadic A.2/Tangalic/Dera (Nigeria)
des,desa1247,Tucanoan,Tucanoan/Eastern Tucanoan/Western Eastern Tucanoan/Cubeo-Desano/Yupua-Siriano-Desano/Siriano-Desano/Desano
dso,desi1235,Bookkeeping,Bookkeeping/Desiya
dee,dewo1238,Kru,Kru/Greater Western Kru/Western Kru/Wee-Bassa-Klao/Bassa-Klao/Bassaic/Dewoin
def,dezf1238,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Iranian/Southwestern Iranian/Middle-Modern Persian/Modern Southwestern Iranian/Luric-Dezfulic/Dezfuli-Shushtari
dgh,dghw1239,Afro-Asiatic,Afro-Asiatic/Chadic/Biu-Mandara/North Biu-Mandara/Margi-Mandara-Mofu/Mandaraic/Dghwedeic/Dghwede
dhs,dhai1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Northeast Savanna Bantu/Central Kenya Bantu/Kamba-Dhaisu/Dhaiso
dhl,dhal1245,Pama-Nyungan,Pama-Nyungan/South-West Pama-Nyungan/Pilbara/Kanyara/Thalanyji-Burduna/Dhalandji
dhn,dhan1264,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Midlands Indo-Aryan/Khandesic/Dhanki
dwz,dhan1265,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Midlands Indo-Aryan/Shaurasenic/Bihari/Unclassified Bihari/Kuswaric/Dewas-Done Danuwar
dha,dhan1267,Bookkeeping,Bookkeeping/Dhanwar (India)
dhg,dhan1270,Pama-Nyungan,Pama-Nyungan/Yuulngu/Southern Yolngu/Southern-Eastern Yolngu/Dhangu
nfa,dhao1237,Austronesian,Austronesian/Malayo-Polynesian/Bima-Lembata/Sumba-Hawu/Hawu-Dhao/Dhao
dhr,dhar1247,Pama-Nyungan,Pama-Nyungan/South-West Pama-Nyungan/Pilbara/Mantharta/Wariyangga-Dhargari/Dhargari
xgm,dhar1248,Pama-Nyungan,Pama-Nyungan/Rockhampton-Gladstone/Dharumbal
mki,dhat1238,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Midlands Indo-Aryan/Apabhramsic/Gujarati-Rajasthani/Rajasthani/Western Rajasthani/Indus Rajasthani/Dhatki
dhi,dhim1246,Sino-Tibetan,Sino-Tibetan/Dhimal-Lhokpu-Toto/Dhimal
div,dhiv1236,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Dhivehi-Sinhala/Dhivehi
dho,dhod1238,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Midlands Indo-Aryan/Bhil/Dhodia-Kukna
adf,dhof1235,Afro-Asiatic,Afro-Asiatic/Semitic/West Semitic/Central Semitic/Arabian/Arabic/Arabian Peninsula Arabic/North Arabian Beduin Arabic/Dhofaric/Dhofari Arabic
ddr,dhud1236,Pama-Nyungan,Pama-Nyungan/Southeastern Pama-Nyungan/Victorian Pama-Nyungan/Eastern Victoria/Dhudhuroa-Pallanganmiddang/Dhudhuroa
dhd,dhun1238,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Midlands Indo-Aryan/Apabhramsic/Gujarati-Rajasthani/Rajasthani/Eastern Rajasthani/Dhundari
dhu,dhur1239,Pama-Nyungan,Pama-Nyungan/Southeastern Pama-Nyungan/New South Wales Pama-Nyungan/Yuin-Kuri/Yuin/Northern Costal Yuin/Dhurga
duj,dhuw1249,Pama-Nyungan,Pama-Nyungan/Yuulngu/Southern Yolngu/Southern-Eastern Yolngu/Dhuwal-Dhuwala/Western Dhuwal-Dhuwala/Dhuwal
dia,diaa1238,Nuclear Torricelli,Nuclear Torricelli/Wapei-Palei/Central Torricelli/Wapeic/Galu-Alu/Alu-Sinagen
mbd,diba1242,Austronesian,Austronesian/Malayo-Polynesian/Greater Central Philippine/Manobo/Central and Southern Manobo/East-West-Central Manobo/East and Central Manobo/East Manobo/Dibabawon Manobo
dby,dibi1240,Isolate,Dibiyaso
bvx,dibo1245,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Central-Western Bantu/North Zaire River/Rivers Bantu/Likouala-Sangha/Dibole
dio,dibo1247,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Ebira-Nupoid/Macro-Nupoid/Nupoid/Dibo-Kupa/Abawa/Dibo
duy,dica1235,Austronesian,Austronesian/Malayo-Polynesian/Northern Luzon/Unclassified Northern Luzon/Dicamay Agta
did,didi1258,Surmic,Surmic/South Surmic/Southwest Surmic/Didinga-Murle/Didinga-Longarim/Didinga
ddo,dido1241,Nakh-Daghestanian,Nakh-Daghestanian/Daghestanian/Avar-Andic-Tsezic/Tsezic/West Tsezic/Tsez
dif,dier1241,Pama-Nyungan,Pama-Nyungan/Karnic/Central Karnic/Western Central Karnic/Pirlatapa-Dieric/Dieric/Dieri
mhu,diga1241,Sino-Tibetan,Sino-Tibetan/Digarish/Tawra
dig,digo1243,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Northeast Savanna Bantu/Northeast Coastal Bantu/Coastal NEC Bantu/Mijikenda-Pokomo-Comorian/Mijikenda/Southern Mijikenda/Digo
dur,diii1241,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Cameroun-Ubangian/Central Adamawa/Samba-Duru/Southern Samba-Duru/Diic/Dii
cfa,diji1241,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Tula-Longuda/Tula-Waja/Tulaic/Dijim-Bwilim
dil,dill1242,Nubian,Nubian/Central Nubian/Kordofan Nubian/Western Kordofan Nubian/Dilling
dis,dima1251,Sino-Tibetan,Sino-Tibetan/Brahmaputran/Bodo-Garo/Boroic/Dimasa-Kokborok/Dimasa
jma,dima1252,Dagan,Dagan/Central Dagan/Dima
dii,dimb1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Bantu A-B10-B20-B30/Bafia (A.50)/Nuclear Bafia (A.50)/Dimbong
dim,dime1235,South Omotic,South Omotic/Dime
dmc,dimi1244,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Madang/Croisilles/Greater Northern Adelbert/Northern Adelbert/Gavak
diq,diml1238,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Iranian/Central Iranian PBS/Central Iranian PB/Northwestern Iranian/Adharic/Zaza/Dimli
diz,ding1239,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Central-Western Bantu/West-Coastal Bantu/Nzadic/Lweric/Dingic/Ding
ddi,diod1237,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/Papuan Tip linkage/Nuclear Papuan Tip linkage/North Papuan Mainland-D'Entrecasteaux linkage/Bwaidoga linkage/Diodio
gdl,dira1242,Afro-Asiatic,Afro-Asiatic/Cushitic/East Cushitic/Lowland East Cushitic/Southern Lowland East Cushitic/Mainstream Lowland East Cushitic/Oromoid/Konsoid/Gidole-Bussa/Dirasha
diu,diri1252,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Central-Western Bantu/Njila/Southern Njila/Kunene/Kwangali-Diriku/Diriku-Shambyu
dir,diri1253,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Northern Bantoid/Dakoid/Taram-Dirim-Nnakenyare/Dirim-Nnakenyare/Jirim
dwa,diri1259,Afro-Asiatic,Afro-Asiatic/Chadic/West Chadic/West Chadic B/West Chadic B.2/Diri
dsi,disa1239,Central Sudanic,Central Sudanic/Sara-Bongo-Bagirmi/SBB Occidental/Nuclear SBB Occidental/Saraic/Sara Peripherique/Koulfaic/Dissa-Canton Mufa
tbz,dita1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Northern Central Gur/Bwamu-Oti-Volta/Oti-Volta/Nuclear Oti-Volta/Oti-Volta Oriental/Waama-Tayari-Ditammari/Tayari-Ditammari/Ditammaric/Ditammari
dtd,diti1235,Wakashan,Wakashan/Southern Wakashan/Makah-Nitinat/Ditidaht
diy,diuw1238,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Asmat-Awyu-Ok/Asmat-Kamrau Bay/Asmat-Kamoro/Asmat/Citak Asmat/Diuwe
