languageCode,glottocode,family_name,classification
tvl,tuva1244,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Central Pacific linkage/Tokalau Fijian/Polynesian/Nuclear Polynesian/Ellicean/Tuvalu
tyv,tuvi1240,Turkic,Turkic/Common Turkic/South Siberian Turkic/Sayan-Yenisei Turkic/Sayan/Tuvinian
tww,tuwa1242,Walioic,Walioic/Tuwari
ifk,tuwa1243,Austronesian,Austronesian/Malayo-Polynesian/Northern Luzon/Meso-Cordilleran/South-Central Cordilleran/Central Cordilleran/Nuclear Cordilleran/Ifugaw/Tuwali Ifugao
bov,tuwu1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Ka-Togo/Kposo-Ahlo-Bowili/Tuwuli
tud,tuxa1239,Isolate,Tuxá
tux,tuxi1238,Pano-Tacanan,Pano-Tacanan/Panoan/Mainline Pano/Pano Nawa/Tuxináwa
tue,tuyu1244,Tucanoan,Tucanoan/Eastern Tucanoan/Eastern Eastern Tucanoan/Eastern Eastern Tucanoan II/Pisamira-Yuruti/Tuyuca-Yuruti/Tuyuca
twa,twan1247,Salishan,Salishan/Coast Salish/Central Salish/Twana
xjb,twee1234,Pama-Nyungan,Pama-Nyungan/Southeastern Pama-Nyungan/New South Wales Pama-Nyungan/Greater Bandjalangic/Bandjalangic/Coastal Bandjalang/Tweed-Albert
twn,twen1242,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Northern Bantoid/Mambiloid/Nizaa-Mambila-Vute/Konja-Mambila-Vute/Mambila-Vute/Mambila-Mbongno/Mambila/Eastern Mambila/Cambap-Langa
kcg,tyap1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Benue-Congo Plateau/West-Central Benue-Congo Plateau/Zaric/Nuclear Zaric/Katabic/Tyap
woa,tyar1236,Northern Daly,Northern Daly/Tyaraity
tzh,tzel1254,Mayan,Mayan/Core Mayan/Western Mayan/Cholan-Tzeltalan/Tzeltalan/Tzeltal
tzb,tzel1255,Bookkeeping,"Bookkeeping/Tzeltal, Bachajón"
tzo,tzot1259,Mayan,Mayan/Core Mayan/Western Mayan/Cholan-Tzeltalan/Tzeltalan/Tzotzil
tzs,tzot1260,Bookkeeping,"Bookkeeping/Tzotzil, San Andrés Larrainzar"
tzu,tzot1261,Bookkeeping,"Bookkeeping/Tzotzil, Huixtán"
tzc,tzot1262,Bookkeeping,"Bookkeeping/Tzotzil, Chamula"
tze,tzot1263,Bookkeeping,"Bookkeeping/Tzotzil, Chenalhó"
tzz,tzot1264,Bookkeeping,"Bookkeeping/Tzotzil, Zinacantán"
tzj,tzut1248,Mayan,Mayan/Core Mayan/Quichean-Mamean/Greater Quichean/Core Quichean/Cakchiquel-Tzutujil/Tz'utujil
tzt,tzut1249,Bookkeeping,"Bookkeeping/Tz'utujil, Western"
aoz,uabm1237,Austronesian,Austronesian/Malayo-Polynesian/Timor-Babar/Rote-Meto/West Rote/Dengka-Meto/Meto/Central Meto/Uab Meto
uam,uamu1236,Unclassifiable,Unclassifiable/Uamué
ksj,uare1241,Kwalean,Kwalean/Humene-Kwale/Uare
